ACD_ID,HEADLINE,INDUSTRY
1636,"Principal,  Custom Recruiting Solutions at Niche Talent Finders",Staffing and Recruiting
1644,Associate Provost for International Affairs and Director International Center at University of San Diego,Higher Education
1645,Principal at VivaPhi,Hospital & Health Care
1661,Senior Executive Search and Sales Leader,Staffing and Recruiting
1682,"Technical Recruiter at Abisco Solutions, Inc",Information Technology and Services
1688,"General Manager, Technical Recruiter CSSR",Staffing and Recruiting
1693,Global Talent Management & Leadership Development,Management Consulting
1700,Business Analyst | Product Manager Coordinator at Reppify,Higher Education
1716,CEO Team All In Marketing,Internet
1718,Global Head of Talent Sourcing and Innovation at Accenture,Human Resources
1727,Client Partner at Putnam Recruiting Group,Staffing and Recruiting
1732,Talent Acquisition Consultant  Sr. Recruiter for DIRECTV and LifeShield at Ultimate Staffing,Staffing and Recruiting
1757,HR Manager at Fisher Barton Group,Human Resources
1761,Management Professional,Executive Office
1766,"Hiring for: SharePoint, MOSS, SPS, Lync /OCS, Exchange, SCCM, .NET, SQL Server, Active Directory in Latin America and US",Staffing and Recruiting
1767,Bringing Top Executive Talent to Disney!,Staffing and Recruiting
1770,"Recruiter, Marketer and Program Manager. Navy Veteran with Business Development and Strategy Background",Higher Education
1786,Majors Account Executive at Box,Computer Software
1791,"CEO Leadership Call LLC, Emotional Intelligence Master Trainer,  Leadership & Performance Consultant, Veteran",Management Consulting
1794,National Director of Recruiting,Staffing and Recruiting
1800,Sr. Technical Recruiter,Staffing and Recruiting
1801,Global Logistics Commodity Manager at Intel Corporation,Semiconductors
1802,Project Coordinator at Reppify,Internet
1832,"SaaS Venture Capital / SaaS Growth Capital, Managing Director at Trident Capital",Venture Capital & Private Equity
1834,Regional Recruiting Business Partner at Comcast,Staffing and Recruiting
1842,Technology Solution Professional,Computer Software
1857,Software Developer Intern at Reppify,Computer Software
1858,Account Manager (pankajjoshi75@gmail.com)(BBM PIN 26360FA9),Human Resources
1863,"Sr. Account Executive  Platform Partnerships. Channel Sales Mentor, Guide and Alliances Shepherd",Computer Software
1868,Business Operations,Information Technology and Services
1881,Director of Business Development at HarQen,Computer Software
1898,Sr. Technical Recruiter at Experis  Portland,Information Technology and Services
1922,"Founder & CEO, Zintro Inc.",Information Services
1929,"SVP, Managing Director, Chief Strategist",Marketing and Advertising
1935,Range Planner at United States Department of Defense,Defense & Space
1942,"(jobs@breakthroughit.com)    (Twitter @BTINOW)   Recruiting Operations / Tech, Pharma, Engineering",Staffing and Recruiting
1959,Talent Sourcer  Principal Consultant,Staffing and Recruiting
1969,"Partner, McSourcer Inc.",Staffing and Recruiting
1977,"Senior Manager, Talent Acquisition  Hitachi Consulting",Human Resources
1983,PR/Marketing Coordinator at Reppify,Public Relations and Communications
1987,Partner at Accenture,Management Consulting
2008,2800 connections -talent shark with microsoft business solutions  crm dynamics,Information Services
2032,Manager at Kaiser Permanente,Information Technology and Services
2073,"Senior Demand Generation + Lead Generation, Online Marketing  Marketo, Eloqua, Salesforce",Marketing and Advertising
2074,Senior Resourcing Specialist at Panzer Solutions,Staffing and Recruiting
2091,Recruiting Specialist at Skytree  The Machine Learning Company®,Staffing and Recruiting
2152,Lead Talent Acquisition Specialist  Perficient Inc,Staffing and Recruiting
2161,"Industry Marketing Director, Energy & Utilities/ Smart Cities",Utilities
2171,"Producer, Director, Designer, Speaker @TheIdeaStone,Reflectur,BrainfoodUSA,TheBoxSF,Articulation Films+Republic of Sound",Entertainment
2211,BizCrunch LLC,Management Consulting
2219,Senior BI/Business Objects Consultant,Information Technology and Services
2225,"Director-West Coast, TalentBurst, Inc.",Management Consulting
2242,International Business & Management Consultant  Your Export Expert,Management Consulting
2243,ISV Account Executive at salesforce.com,Internet
2251,Recruiting Partner,Management Consulting
2256,Major Accounts District Manager at ADP,Information Technology and Services
2261,Quality Leader,Defense & Space
2280,Program Manager at Microsoft,Information Technology and Services
2281,Talent Acquisition Consultant at The WorkPlace Group,Staffing and Recruiting
2349,TL  Technical Recruitment for eBay (Check summary for open reks),Information Technology and Services
2353,Thinking differently about Talent Acquisition,Internet
2362,Sr. Executive  HR Services at CSC,Human Resources
2396,"Master of Science  , Organization Development",Management Consulting
2402,"Analytic Recruitment Thought Leader: Recruiting for Marketing, CRM and Risk Analytics Jobs across US",Staffing and Recruiting
2409,"Director, Human Resources and Administration",Human Resources
2984,Project Lead at HCL America Inc.,Information Technology and Services
3486,UX / UI designer at Doejo,Design
3497,Systems Engineer and IT Project Manager,Information Technology and Services
3569,Bringing educators the tools they need to enhance the student learning experience,E-Learning
3590,PR Specialist at NetSuite,Public Relations and Communications
3593,Entrepreneur,Information Technology and Services
4389,GTM and Customer engagement specialist for Big DATA and Predictive Analytics SAP Startups,Information Technology and Services
4396,"Business Unit (NA) head  Information Media and Entertainment, Cognizant",Outsourcing/Offshoring
4423,CEO/Co-Founder at Entelo,Internet
4424,Consultant / Planning & Evaluation Department at IFRC,Information Technology and Services
4435,Executive Chairman at HireVue; Hall of Fame Inductee,Information Technology and Services
4446,Vice President at Juju.com,Information Technology and Services
4464,Practice Head,Information Technology and Services
4468,"Account Executive, Appirio",Management Consulting
4486,chris_cox at intuit.com: Nerd Herder & Reality Bender / Lead Engineering Sourcer (recruitment),Computer Software
4503,Senior Recruiter at Motorola Mobility,Computer Software
4512,Marketing and Program Management,Marketing and Advertising
4521,Recruiting Manager at WunderLand,Staffing and Recruiting
4522,"VP, Vendor Partnerships at Talemetry",Computer Software
4525,Sr. Recruiter at UST Global,Information Technology and Services
4549,"Recruiter, Head Hunter, Staffing & Resourcing Expert | Entrepreneur | @ravi_dutt | @EOMinds |",Staffing and Recruiting
4557,"New Product Development, Senior Manager at American Express",Financial Services
4578,"Staffing Consultant at Kenexa, an IBM Company",Staffing and Recruiting
4582,Chief Marketing Brain at Red Branch Media,Marketing and Advertising
4587,Managing Director at Merus Capital,Venture Capital & Private Equity
4592,Director of Strategic Alliances at HireVue,Computer Software
4603,Director at Intel Capital,Venture Capital & Private Equity
4608,Engineering Manager at HireVue,Computer Software
4618,Product Management and Monetization at LinkedIn,Internet
4619,CIO Advisory at PricewaterhouseCoopers,Information Technology and Services
4629,"Marketing, Account Management, and Business Development",Financial Services
4675,Transforming businesses leveraging creativity and innovative excellence,Management Consulting
4689,Entrepreneur and helper of start-ups,Information Technology and Services
4692,Chairman at JobSerf,Management Consulting
4696,Vice President at Spectrum Equity Investors,Venture Capital & Private Equity
4703,Program Manager  Business Success Enablement at UST Global,Computer Software
4712,Consultant at Deloitte,Management Consulting
4726,Director of Global Recruiting at Wayfair,Internet
4728,gadgad,Government Administration
4733,Co-Founder at Loohcs,Education Management
4734,Vice President Product at Jobvite,Computer Software
4737,"Partner, Front Office / Mobile Solutions, Financial Services at IBM",Information Technology and Services
4740,CEO at HireVue,Human Resources
4741,Vice President at Systems In Motion,Information Technology and Services
4787,"Managing Director, Global Operations",Information Technology and Services
4792,Investment Director at Intel Capital,Venture Capital & Private Equity
4797,"Founder US Angel Investors, Managing Partner at Crimson Growth Partners, Managing Partner MainGate Capital",Internet
4798,Human Capital Management Application Sales Manager at Oracle,Computer Software
4801,"Managing Partner, InFlux Partners",Management Consulting
4806,CEO Broadbean inc.,Information Technology and Services
4822,Lead Technical Consultant at SuccessFactors,Computer Software
4829,"Vice President, Business Development at HireVue",Computer Software
4830,Chief Marketing Officer at ForeSee,Marketing and Advertising
4842,Senior Consultant at Veeva Systems,Information Technology and Services
4850,Sr.Network Design Engineer @ Boeing,Aviation & Aerospace
4856,Tech Venture & Growth Capital,Venture Capital & Private Equity
4859,Accenture,Management Consulting
4869,Principal Analyst at HRxAnalysts,Staffing and Recruiting
4877,Founder BraveNewTalent.com  the Enterprise Social Learning platform,Internet
4887,Product and Engagement Management,Information Technology and Services
4911,Co-Founder & Head of Sales @Ongig,Internet
4918,"Project Engineer at Pacific Structures, Inc.",Civil Engineering
4925,National Account Executive,Online Media
4929,Executive Assistant at UST Global,Information Technology and Services
4932,"CEO Zementis, Inc.",Computer Software
5144,Business Systems Analyst (BPC) at Novartis Vaccines and Diagnostics,Information Technology and Services
5151,Consultant at Google (Contractor),Information Technology and Services
5154,Consultant at International Game Technology,Information Technology and Services
5159,Graduated in MSIS From University of Texas at Arlington,Information Technology and Services
5165,"Web Developer, Project Manager at QuinStreet",Computer Software
5167,Assistant Professor,Research
5169,Graduate Assistant at University of Texas at Arlington,Computer Software
5184,Sr. QA Engineer  at GE Energy,Computer Software
5185,MBA Candidate at Columbia Business School,Management Consulting
5196,System Test Team Architect for Signal Processing Embedded Systems,Machinery
5205,Student at The University of Texas at Arlington,Computer Software
5224,Graduate Student in Computer Science,Higher Education
5226,STUDENT at University of Texas at Arlington,Computer Software
5231,Graduate Teaching Assistant at University Of Texas at Arlington,Computer Software
5238,Technology Analyst at Infosys Technologies Ltd,Information Technology and Services
5239,Java Developer,Computer Software
5242,"Microelectronics Packaging Engineer at Allegro MicroSystems, Inc.",Electrical/Electronic Manufacturing
5248,Software Developer,Computer Software
5252,Graduate Student,Computer Software
5255,Business Analyst at Xerox Business Services,Information Technology and Services
5257,Senior Project Manager,Information Technology and Services
5264,"Student at university of texas,arlington",
5265,Techical Verification and Validation Lead at iGATE,Medical Devices
5270,Web Application Developer at Center for Online Development,Information Technology and Services
5271,Technology Analyst at Goldman Sachs,Computer Software
5273,Financial Analyst,Investment Banking
5276,Recruiting Professional at Oberon IT,Staffing and Recruiting
5277,"Engineering Manager at General Electric  Bently Nevada, Embedded Systems",Oil & Energy
5278,MIS Graduate Student at the University of Illinois,Information Technology and Services
5286,Analytics Consultant,Management Consulting
5294,SDET,Computer Software
5300,Skilled Software Engineer,Computer Software
5302,Senior Specialist at HCL Technologies,Information Technology and Services
5304,"Masters in Computer Science at University of Texas, Arlington",Computer Software
5307,"MBA Student at Ross School of Business, University of Michigan",Higher Education
5313,"Technical Support Engineer at Monitise Americas, Inc.",Computer Software
5317,Lead Software Engineer at GE Software,Computer Software
5321,Technology Lead at Infosys,Information Technology and Services
5322,Lead Business Analyst at Synechron (Pega CBA and CMBB certified),Information Technology and Services
5324,Senior Software Engineer at Netflix,Information Technology and Services
5326,Advanced Software Engineer in Test at GE,Program Development
5328,"Global Product Manager, Controls and Electronics at The GSI Group, Inc.",Farming
7297,"Manager, Management Consulting at Accenture",Management Consulting
7305,Global Special Talent Acquisition Team,Staffing and Recruiting
7316,"Managing Director, Global Talent Acquisition, Accenture",Human Resources
7317,Vice President of Sales at Adicio,Internet
7322,"Global Director, Management Consulting Recruitment at Accenture",Human Resources
7324,North America Talent Acquisition Director,Staffing and Recruiting
7331,HR/Recruitment Technology,Staffing and Recruiting
7348,Global Talent Acquisition  Manager at Accenture,Management Consulting
7354,Global Career Transitions Solution Architect at Accenture,Human Resources
7356,Capability Senior Manager at Accenture,Information Technology and Services
7380,Global Recruitment Technology at Accenture,Human Resources
7386,Manager at Accenture,Computer Software
7409,"Recruiter, Senior Analyst at Accenture",Staffing and Recruiting
7410,Sourcing Lead at Accenture,Management Consulting
7414,Global Operating Group Recruiting Lead,Management Consulting
7415,"Hunter in heart, Sourcer in soul, Manager by trade. RPO PRO!!",Staffing and Recruiting
7425,Global Account Manager at Monster,Internet
7428,Executive,Information Technology and Services
7429,"Secondment at Accenture UK, Management Consulting Talent Acquisition Specialist",Staffing and Recruiting
7440,Recruiter for People Operations at Google,Staffing and Recruiting
7441,Technical Recruiter at VensIT Corp,Information Technology and Services
7448,"VP, Global Talent Acquisition at ADP",Staffing and Recruiting
7450,Global Recruitment  Accenture,Internet
7462,CEO  Jibe,Internet
7477,Data Center Services at Accenture,Hospitality
7478,Global Senior Executive Recruiting Director at Accenture,Management Consulting
7486,Recruiter at Accenture,Staffing and Recruiting
7494,Candidate Experience Manager at Accenture,Information Technology and Services
7497,Recruiter,Human Resources
7510,Program Manager,Human Resources
7511,"Global HR/Recruitment, Leadership Development and Writing Professional",Human Resources
7525,Global Career Transitions Lead at Accenture,Human Resources
7557,"Director, Enterprise Sales at JIBE",Online Media
7564,BI IP Product Manager at Accenture,Information Technology and Services
7569,Global Accenture Leadership Recruiting Manager,Human Resources
7593,Life Sciences Recruiter/Sourcing Lead at Accenture  jennifer.southcott@accenture.com,Human Resources
7594,Executive Recruiter at Hewlett-Packard,Management Consulting
7606,"COO, Talent Acquisition at Accenture",Human Resources
7625,Global Operations Lead  Recruitment System Technology at Accenture,Human Resources
7629,Global Recruitment Team,Human Resources
7630,Corporate Recruiter at Acquity Group,Human Resources
7632,Manager at AIG,Insurance
7635,Management Consultant at Accenture,Management Consulting
7638,"Talent Acquisition, Sourcing Leader at SAP",Staffing and Recruiting
7670,Analytics & Business Support for Global Recruitment at Accenture,Information Technology and Services
7679,Software Engineer Lead at PNC,Information Technology and Services
7687,Senior Associate at Cognizant Technology Solutions US Corporation,Information Technology and Services
7689,Analyst Programmer at Accenture Services,Management Consulting
7690,Technical Lead  Consultant at Staples,Information Technology and Services
7692,Siebel Consultant,Information Technology and Services
7701,Consultant at Cognizant Technology Solutions,Information Technology and Services
7714,Global Client Partner at Cognizant Technology Solutions,Computer Software
7720,ATG Technical Lead,Information Technology and Services
7730,Manager at Accenture,Management Consulting
7736,OIM Consultant at PNC,Computer Software
7739,Senior Systems Analyst at TJX,Information Technology and Services
7751,Software Test Engineer,Information Technology and Services
7764,Software Engineering Analyst at Accenture LLP,Information Technology and Services
7768,Executive Recruiter at Life Search Technologies,Staffing and Recruiting
7782,Manager at Accenture,Computer Software
7783,Senior Programmer Analyst / PeopleSoft Application DBA,Information Technology and Services
7788,Software Developer at UBS Investment Bank,Investment Banking
7793,Senior Database Developer,Computer Software
7796,Director at UBS,Banking
7804,at,Human Resources
7808,Consultant at AT&T Global Services,Computer Software
7814,Systems Analyst at Accenture Technology Solutions,Information Technology and Services
7815,US HR Transformation UAT Lead at UBS,Human Resources
7827,Sr. Manager,Management Consulting
7832,Americas Payroll Systems Specialist,Information Technology and Services
7835,"Senior Database Developer at Redwood Trust, Inc.",Information Technology and Services
7841,Analyst Programmer at Accenture Technology Solutions,Information Technology and Services
7842,Technical Recruiter at Persistent Systems,Information Technology and Services
7850,SSE at Accenture,Management Consulting
7852,GGL Release Manager at UBS,Financial Services
7857,at Deloitte Consulting,Information Technology and Services
7858,QA Analyst,Information Technology and Services
7866,Team Lead at Infosys Limited,Information Technology and Services
7867,Assistant Consultant at Tata Consultancy Services,Information Technology and Services
7873,Human Resources Executive at UBS,Financial Services
7875,Director  Human Resources IT for UBS Investment Bank,Information Technology and Services
7877,Project Manager  HR Technology Transformation at UBS,Investment Banking
7881,Senior Manager at Accenture,Management Consulting
7883,"Associate, Product Manager at BlackRock",Investment Management
7885,Project Lead/Project Manager,Information Technology and Services
7889,Level D at Accenture Services,Information Technology and Services
7890,Technical Lead/Senior Developer at WWE,Entertainment
7898,Faculty of Management at LNU-MSU College of International Business,Information Technology and Services
7904,Technology Lead at Infosys Technologies Ltd,Information Technology and Services
7905,Analyst Programmer at Accenture,Computer Software
7908,"Senior Manager, Web Technology at NBA",Sports
7909,Director-Human Resources,Financial Services
7919,Senior Consultant at KPMG US,Management Consulting
7921,Software Engineering Team Lead at Accenture Technology Solutions,Information Technology and Services
7939,Associate Manager at Accenture Technology Solutions,Computer Software
7944,Project Manager at Tata Consultancy Services,Information Technology and Services
7945,Manager at Accenture,Information Technology and Services
7946,Senior Consultant at Capgemini North America,Management Consulting
7947,Technical lead at iGATE,Information Technology and Services
7949,Business Analyst / PM,Financial Services
7951,Project Manager at UBS,Financial Services
7976,"Software Lifecycle Management Service Owner at Cummins, Inc",Automotive
7979,Cognizant Technology Solutions,Information Technology and Services
8033,RM,Information Technology and Services
9263,"Talent Acquisition Manager Outsourcing, Mobility, Cloud and Emerging Technology Innovation (ETI)  Accenture",Human Resources
9264,Guiding people to their dream jobs!,Human Resources
9266,"Global Managing Director  HR Consulting Group, Global Lead",Management Consulting
9268,Experienced Business Analyst,Education Management
9271,We're hiring at ADP! Email me for info on how to apply Molly.Ahadpour@adp.com,Information Technology and Services
9272,Career Services Transition Specialist at Accenture,Professional Training & Coaching
9273,Sourcing Specialist / Talent Acquisition  Deloitte Advisory  baldworth@deloitte.com,Staffing and Recruiting
9274,Director of Administrative Services at City of Evanston,Government Administration
9277,Talent Acquisition Leader,Human Resources
9278,Manager of Recruiting Operations @SendGrid,Computer Software
9279,"Speaker, Referral Coach, Author of Fearless Referrals",Professional Training & Coaching
9280,Recruiter at Accenture,Human Resources
9281,GM of Talent scouting for the best players to put on the Citrix team! You want a tryout?,Computer Software
9283,"Financial Analyst at Affinity Solutions, Inc",Accounting
9285,National Account Executive at CareerBuilder.com,Staffing and Recruiting
9287,Founder & CEO at Conenza,Computer Software
9292,"Global Director, Recruitment Marketing at Accenture",Information Technology and Services
9296,"Recruitment Researcher, Northern America at comScore, Inc.",Market Research
9297,"Director, Corporate Marketing at Accenture",Public Relations and Communications
9302,Senior Recruiter at Knowledge Universe,Staffing and Recruiting
9306,Digital Marketing & Communications at Amex,Marketing and Advertising
9310,Recruiter  Healthcare,Management Consulting
9316,Venture Capital & Private Equity Professional,Venture Capital & Private Equity
9318,Experienced Marketing & Communications Professional,Marketing and Advertising
9320,Recruiter at Accenture Financial Services.,Staffing and Recruiting
9322,Marketing & Business Development Expert,Internet
9323,"Principal and Founder, Bersin by Deloitte",Human Resources
9324,"Chief Marketing Officer and SVP, Strategic Initiatives & Partnerships at Teach For America",Nonprofit Organization Management
9328,Recruiter,Management Consulting
9329,Global Employment Brand & Marketing Leader | Consultant | Building Brands from the Inside Out,Marketing and Advertising
9330,Sr. Talent Acquisition Partner at Bristol-Myers Squibb,Pharmaceuticals
9334,HR Talent Strategist at Accenture,Human Resources
9335,Recruiter and Social Media Strategist at Accenture,Staffing and Recruiting
9336,"Owner, LoBo & Petrocine",Marketing and Advertising
9340,Global Inclusion and Diversity Managing Director at Accenture,Management Consulting
9344,Corporate Recruiter | Technical Recruiter,Human Resources
9347,co-founder,Staffing and Recruiting
9348,Director / Americas Experienced Recruitment,Investment Banking
9349,Recruiter at Accenture  shannon.brannagan@accenture.com,Staffing and Recruiting
9350,"Head of Solutions, North America",Internet
9351,Experienced Independent Board Director/Business Advisor,Management Consulting
9353,Executive Support Assistant at Accenture,Management Consulting
9357,Customers For Life at Coupa Software,Online Media
9359,"Founder and President at McFrank & Williams Advertising Agency, Inc.",Marketing and Advertising
9361,"Senior Director, Talent Acquisition at Accenture",Management Consulting
9362,Global Human Resources Dir | Talent Management | Human Capital Strategy | Performance Management | Change Management,Management Consulting
9366,"US Recruitment Marketing Experienced Hire Lead, North America Diversity and Military Marketing Lead at Accenture",Management Consulting
9367,Business Leader,Internet
9369,Director of Strategy at BraveNewTalent,Staffing and Recruiting
9370,Employment Brand Manager at DaVita,Human Resources
9372,"CEO, SBB Institute for the Development of Women Leaders",Management Consulting
9373,Recruiting Team Leader at Humana,Insurance
9376,Product Management Executive,Internet
9377,"Coach, Speaker, Advisor",Human Resources
9379,Recruiter at Accenture,Human Resources
9380,"Associate Director, Digital Media at iCrossing",Marketing and Advertising
9381,North America Inclusion & Diversity Manager at Accenture,Management Consulting
9382,"Research Fellow, Accenture Institute for High Performance",Management Consulting
9383,Global organizational design,Financial Services
9385,Recruiter at Accenture,Human Resources
9392,Principal + Lead Technologist at Ronik Design,Information Technology and Services
9393,SVP Talent Strategy and Innovation at Kforce,Staffing and Recruiting
9397,Vice President at Google Inc,Information Technology and Services
9405,"Head of EPD Recruiting (Eng, Product, Design) at Dropbox",Staffing and Recruiting
9411,Head of Global Recruiting  JP Morgan Chase,Financial Services
9413,"Internet adventurer, code slinger, gamer.",Internet
9414,VP of Operations at Loop,Human Resources
9418,"Regional Vice President, Great Lakes & North Central at Monster Worldwide",Online Media
9419,Global Diversity Recruitment Manager at Accenture,Management Consulting
9421,Global Vice President Talent Acquisition | VP Global Staffing | Vice President Talent Attraction | VP Global Recruiting,Computer Software
9423,Vice President of Corporate Accounts at Globoforce,Information Technology and Services
9424,Learning and Development Catalyst,Management Consulting
9426,Paving the Future of Cloud Computing & Talent Intelligence at Oracle,Computer Software
9428,"Vice President, Office of the CIO  Human Resources at EMC",Human Resources
9429,"Founder & President at Indoor Ski USA, Inc.",Sports
9433,Sr. Recruiter at Accenture,Human Resources
9434,Executive Assistant at Accenture,Management Consulting
9435,"Senior Vice President, Global Client Solutions at Randstad",Staffing and Recruiting
9437,"Senior Recruiter, BPO at Accenture",Human Resources
9438,Director of Global Social Recruiting at SAP,Staffing and Recruiting
9440,Associate at Optimity Advisors,Management Consulting
9441,"Partner, Accenture",Management Consulting
9456,Board Member at Climate Earth,Environmental Services
9461,Project Manager at Accenture,Information Technology and Services
9466,Enterprise Relationship Manager at Monster Worldwide  SaaS Cloud,Telecommunications
9467,Military Sourcing Expert at Accenture,Human Resources
9468,"Talent management consultant specializing in talent acquisition, analytics, engagement. Coach | Speaker | Author.",Management Consulting
9469,"Global Head of Sales Development  Helping organisations transform the way they hire, market and sell",Online Media
9472,"HR Director, Recruiting at Stewart Title",Human Resources
9473,"Independent Consultant, Executive Coach, Associate Professor (NYU)",Management Consulting
9474,Sr. Technical Recruiter for Accenture,Information Technology and Services
9475,"Director, Enterprise Sales at JIBE",Online Media
9480,Sr. Recruiter (Contractor) at Xcel Energy,Staffing and Recruiting
9481,Vice President and COO College Board Programs at ETS,Information Services
9483,"Vice President of Talent Acquisition, Performance and Rewards at CEB's SHL Talent Measurement",Human Resources
9485,"Sr. Product Manager, Social & Community at RetailMeNot, Inc.",Online Media
9486,"Sr. Director, Marketing at LinkedIn",Internet
9489,"Managing Director, Accenture",Information Technology and Services
9490,"Director, Talent Acquisition  at The Walt Disney Company",Staffing and Recruiting
9494,"Solutions Consultant Manager, North America at LinkedIn",Internet
9498,Talent Acquisition Manager at Slalom Consulting kyleee@slalom.com,Management Consulting
9501,Client Service Manager at Levi Strauss & Co. for Accenture HR Services,Staffing and Recruiting
9502,Helping the world's top companies find the world's best talent.,Internet
9503,North America Account Director: Accenture HR BPO,Outsourcing/Offshoring
9505,"Founder, China CEOs.com",International Trade and Development
9506,SVP Global Marketing at Tradeshift,Internet
9507,"Managing Principal at Riviera Advisors, Inc.  a specialized HR consulting firm focused on optimizing staffing",Staffing and Recruiting
9508,"SVP,Recruiting Team Manager Corporate & Investment Banking/ Transaction Services",Human Resources
9511,Collaborator at Wizo,Marketing and Advertising
9513,Global HR Managing Director  Talent Supply Chain,Human Resources
9514,Board Member at Essentia Analytics,Internet
9516,Venture Capitalist,Venture Capital & Private Equity
9517,Director of Strategic Communications at Pearson plc,Public Relations and Communications
9518,"Director, Talent Acquisition Systems at Marriott International",Human Resources
9521,Senior Corporate Recruiter at Aon Hewitt,Human Resources
9524,HR Service Delivery Professional with an MBA and PHR  Open Networker,Staffing and Recruiting
9525,Chief Executive Officer for Solarcure ...making a Patriotic Difference to all Military Veterans,Military
9526,"Vice President, Executive Recruiter at Citi",Staffing and Recruiting
9527,"Global Director, Digital Marketing, CRM, and Analytics, Health & Public Services at Accenture",Management Consulting
9528,Creating Interviews @ TalentBox.me,Human Resources
9529,Talent Acquisition at Accenture  s.fitzgerald@accenture.com,Management Consulting
9531,VP of Operations at JIBE,Internet
9534,"US Accenture Recruiting, Strategy Recruiter",Management Consulting
9535,Human Resources Senior Manager,Human Resources
9537,Talent Acquisition Manager-N.A. at ABB,Human Resources
9538,"Transforming The Way Companies Hire, Market, and Sell",Computer Software
9540,Senior Vice President at Match.com,Internet
9544,Management Consulting  Leadership Talent Acquisition North America at Accenture,Management Consulting
9546,Passionate about investing in people,Internet
9549,Managing Director at Accenture,Information Technology and Services
9550,Global Talent Acquisition  at Levi Strauss & Co.,Staffing and Recruiting
9551,Teaching Recruiters Everywhere to Be More Successful Using LinkedIn,Staffing and Recruiting
9559,Recruiter at Healthgrades,Hospital & Health Care
9561,North American Internet Channel & Social Media Sourcing Lead,Staffing and Recruiting
9563,Leading companies down the path to success.,Internet
9565,Inside Sales Representative at Findly,Computer Software
9567,"Communication Expert, Keynote Speaker, Entrepreneur",Professional Training & Coaching
9571,"SVP, Talent Management & Acquisition at Speakeasy Inc.",Professional Training & Coaching
9572,"Accenture Global Practice Lead, Talent and HR Outsourcing",Outsourcing/Offshoring
9575,"Director, Talent Acquisition at ADT",Information Technology and Services
9579,Practice Manager Enterprise Security Services at Wipro Technologies,Information Technology and Services
9580,"Proven HR Transformation, Technology, and Operations Executive",Human Resources
9582,Director of Global Talent Acquisition & Mobility at Black & Veatch,Human Resources
9586,"Director, Relationship Management; Corporate Learning at Harvard Business School Publishing",Publishing
9587,Recruiting/Sourcing,Computer Software
9593,"Global Head of Solutions, Talent Solutions",Internet
9595,Director of Corporate Solutions Products at LinkedIn,Computer Software
9599,Marketing at LinkedIn,Internet
9601,"Vice President, Product Management, LinkedIn",Internet
9602,Category Specialist  HR & Prof Svcs at Accenture,Management Consulting
9603,Director of Sales at Entelo,Computer Software
9606,Helping people achieve their Goals!,Management Consulting
9609,"Vice President, Global Talent Acquisition at Amazon",Internet
9611,US Business Process Outsourcing Talent Acquisition Lead at Accenture,Human Resources
9612,Recruiting Director at Accenture,Human Resources
9614,"Managing Director  Global Marketing Research, Web Analytics and Search at Accenture",Information Technology and Services
9617,"Project Manager, B2B Analyst, Globalist and occasional blogger  @MarkHauler",Financial Services
9619,"Principal, Global HR Practice at CTPartners",Staffing and Recruiting
9620,"Director, Sales Development & Inside Sales at DoubleDutch",Internet
9621,Talent Acquisition and Development Professional,Retail
9624,Talent Acquisition at Accenture,Human Resources
9631,Global Research Lead for Technology & Outsourcing at Accenture,Research
9632,COO at SmashFly Technologies,Computer Software
